Hotel,Location,Star,Price Per Night,Restaurant,Free Breakfast,Pizza,Burger,Table Tennis,Horseback Riding,Bicycle Riding,Board Games,Swimming Pool,Free Cancellation,Free Wifi,Gym,Playstation,Cctv camera,Children activities,Freetaxiservice,Atm onsite,Laundryservice,Parkinglot,Television,Doublebed,Twinbed,Airconditioner,Bathroom,Telephone,Refrigerator,Showerchair,Amenities
Lewi Hotel And Resorts,Hawassa,4,"$3,598.00",Restaurant,Free Breakfast, , , , , , ,Swimming Pool,Free Cancellation,Free Wifi, , , ,Children activities, , ,Laundryservice,Parkinglot,Television,Doublebed,Twinbed,Airconditioner,Bathroom,Telephone,Refrigerator, ,"Restaurant, Free Breakfast,  ,  ,  ,  ,  ,  , Swimming Pool, Free Cancellation, Free Wifi,  ,  ,  , Children activities,  ,  , Laundryservice, Parkinglot, Television, Doublebed, Twinbed, Airconditioner, Bathroom, Telephone, Refrigerator,  "
Heron Hotel,Hawassa,4,"$1,542.00",Restaurant,Free Breakfast, , , , , , , ,Free Cancellation,Free Wifi, , , ,Children activities, , ,Laundryservice,Parkinglot,Television,Doublebed, , ,Bathroom, , , ,"Restaurant, Free Breakfast,  ,  ,  ,  ,  ,  ,  , Free Cancellation, Free Wifi,  ,  ,  , Children activities,  ,  , Laundryservice, Parkinglot, Television, Doublebed,  ,  , Bathroom,  ,  ,  "
Atse Yohannes Hotel,Mekele,4,"$2,260.00",Restaurant,Free Breakfast, , , , , , ,Swimming Pool,Free Cancellation,Free Wifi, , ,Cctv camera,Children activities,Freetaxiservice,Atm onsite,Laundryservice,Parkinglot,Television,Doublebed,Twinbed,Airconditioner,Bathroom,Telephone, , ,"Restaurant, Free Breakfast,  ,  ,  ,  ,  ,  , Swimming Pool, Free Cancellation, Free Wifi,  ,  , Cctv camera, Children activities, Freetaxiservice, Atm onsite, Laundryservice, Parkinglot, Television, Doublebed, Twinbed, Airconditioner, Bathroom, Telephone,  ,  "
Mekelle Hotel,Mekele,4,"$1,713.00",Restaurant, , , , , , , , , ,Free Wifi, , , , , , ,Laundryservice,Parkinglot,Television,Doublebed, , ,Bathroom, , , ,"Restaurant,  ,  ,  ,  ,  ,  ,  ,  ,  , Free Wifi,  ,  ,  ,  ,  ,  , Laundryservice, Parkinglot, Television, Doublebed,  ,  , Bathroom,  ,  ,  "
Desta International Hotel,Mekele,4,"$2,399.00",Restaurant,Free Breakfast, , , , , , ,Swimming Pool,Free Cancellation,Free Wifi, , ,Cctv camera,Children activities, , ,Laundryservice,Parkinglot,Television,Doublebed,Twinbed,Airconditioner,Bathroom,Telephone, , ,"Restaurant, Free Breakfast,  ,  ,  ,  ,  ,  , Swimming Pool, Free Cancellation, Free Wifi,  ,  , Cctv camera, Children activities,  ,  , Laundryservice, Parkinglot, Television, Doublebed, Twinbed, Airconditioner, Bathroom, Telephone,  ,  "
Planet Hotel,Mekele,4,"$3,874.00",Restaurant,Free Breakfast, , , , , , ,Swimming Pool, ,Free Wifi,Gym, ,Cctv camera,Children activities,Freetaxiservice, ,Laundryservice,Parkinglot,Television,Doublebed,Twinbed, ,Bathroom, , , ,"Restaurant, Free Breakfast,  ,  ,  ,  ,  ,  , Swimming Pool,  , Free Wifi, Gym,  , Cctv camera, Children activities, Freetaxiservice,  , Laundryservice, Parkinglot, Television, Doublebed, Twinbed,  , Bathroom,  ,  ,  "
Axum Hotel,Mekele,3,"$1,760.00",Restaurant,Free Breakfast, , , , , , ,Swimming Pool, ,Free Wifi,Gym, , ,Children activities, , ,Laundryservice,Parkinglot,Television,Doublebed,Twinbed, ,Bathroom, ,Refrigerator, ,"Restaurant, Free Breakfast,  ,  ,  ,  ,  ,  , Swimming Pool,  , Free Wifi, Gym,  ,  , Children activities,  ,  , Laundryservice, Parkinglot, Television, Doublebed, Twinbed,  , Bathroom,  , Refrigerator,  "
Moringa Hotel,Mekele,4,"$1,800.00",Restaurant,Free Breakfast, , , , , , ,Swimming Pool, ,Free Wifi, , ,Cctv camera,Children activities,Freetaxiservice, ,Laundryservice,Parkinglot, ,Doublebed,Twinbed, ,Bathroom, ,Refrigerator, ,"Restaurant, Free Breakfast,  ,  ,  ,  ,  ,  , Swimming Pool,  , Free Wifi,  ,  , Cctv camera, Children activities, Freetaxiservice,  , Laundryservice, Parkinglot,  , Doublebed, Twinbed,  , Bathroom,  , Refrigerator,  "
Romanat Hotel,Mekele,5,"$2,580.00",Restaurant,Free Breakfast, , , ,Horseback Riding, , , , ,Free Wifi, , , ,Children activities, , ,Laundryservice,Parkinglot,Television,Doublebed,Twinbed,Airconditioner,Bathroom,Telephone, , ,"Restaurant, Free Breakfast,  ,  ,  , Horseback Riding,  ,  ,  ,  , Free Wifi,  ,  ,  , Children activities,  ,  , Laundryservice, Parkinglot, Television, Doublebed, Twinbed, Airconditioner, Bathroom, Telephone,  ,  "
Africa Hotel,Axum,2,$500.00,Restaurant, , , ,Table Tennis,Horseback Riding,Bicycle Riding,Board Games, ,Free Cancellation,Free Wifi,Gym,Playstation, ,Children activities,Freetaxiservice, ,Laundryservice,Parkinglot,Television,Doublebed,Twinbed,Airconditioner,Bathroom,Telephone,Refrigerator,Showerchair,"Restaurant,  ,  ,  , Table Tennis, Horseback Riding, Bicycle Riding, Board Games,  , Free Cancellation, Free Wifi, Gym, Playstation,  , Children activities, Freetaxiservice,  , Laundryservice, Parkinglot, Television, Doublebed, Twinbed, Airconditioner, Bathroom, Telephone, Refrigerator, Showerchair"
